2020-10-29 01:06:33,044 INFO [Thread-605] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-605,10,main]
2020-10-29 01:06:35,518 INFO [Thread-608] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-608,10,main]
2020-10-29 01:10:00,035 INFO [xxl-rpc, EmbedServer bizThreadPool-1623136878] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@364601df
2020-10-29 01:10:00,069 INFO [xxl-rpc, EmbedServer bizThreadPool-1623136878] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@3881f967
2020-10-29 01:11:33,044 INFO [Thread-611] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-611,10,main]
2020-10-29 01:11:35,631 INFO [Thread-614] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-614,10,main]
2020-10-29 01:15:00,060 INFO [xxl-rpc, EmbedServer bizThreadPool-563867325] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@176f185e
2020-10-29 01:15:00,086 INFO [xxl-rpc, EmbedServer bizThreadPool-563867325] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@19a8e4c3
2020-10-29 01:16:33,069 INFO [Thread-617] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-617,10,main]
2020-10-29 01:16:35,673 INFO [Thread-620] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-620,10,main]
2020-10-29 01:20:00,025 INFO [xxl-rpc, EmbedServer bizThreadPool-144127124] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@739f7c24
2020-10-29 01:20:00,042 INFO [xxl-rpc, EmbedServer bizThreadPool-144127124] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@7d589c27
2020-10-29 01:21:33,033 INFO [Thread-623] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-623,10,main]
2020-10-29 01:21:35,877 INFO [Thread-626] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-626,10,main]
2020-10-29 01:25:00,027 INFO [xxl-rpc, EmbedServer bizThreadPool-1486502631] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@6b31cd84
2020-10-29 01:25:00,052 INFO [xxl-rpc, EmbedServer bizThreadPool-1486502631] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@65f62e92
2020-10-29 01:26:33,036 INFO [Thread-629] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-629,10,main]
2020-10-29 01:26:35,559 INFO [Thread-632] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-632,10,main]
2020-10-29 01:30:00,029 INFO [xxl-rpc, EmbedServer bizThreadPool-1951558370] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@40b4a477
